ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,Ag,Ag Method,Al,Al Method,As,As Method,Au,Au Method,B,B Method,Ba,Ba Method,Be,Be Method,Bi,Bi Method,Ca,Ca Method,Cd,Cd Method,Ce,Ce Method,Cl,Cl Method,Co,Co Method,Cr,Cr Method,Cs,Cs Method,Cu,Cu Method,Dy,Dy Method,Er,Er Method,Eu,Eu Method,Fe,Fe Method,Ga,Ga Method,Gd,Gd Method,Ge,Ge Method,Hf,Hf Method,Hg,Hg Method,Ho,Ho Method,In,In Method,Ir,Ir Method,K,K Method,La,La Method,Li,Li Method,Lu,Lu Method,Mg,Mg Method,Mn,Mn Method,Mo,Mo Method,Na,Na Method,Nb,Nb Method,Nd,Nd Method,Ni,Ni Method,P,P Method,Pb,Pb Method,Pd,Pd Method,Pr,Pr Method,Pt,Pt Method,Rb,Rb Method,Re,Re Method,Rh,Rh Method,Ru,Ru Method,S,S Method,Sb,Sb Method,Sc,Sc Method,Se,Se Method,Si,Si Method,Sm,Sm Method,Sn,Sn Method,Sr,Sr Method,Ta,Ta Method,Tb,Tb Method,Te,Te Method,Th,Th Method,Ti,Ti Method,Tl,Tl Method,Tm,Tm Method,U,U Method,V,V Method,W,W Method,Y,Y Method,Yb,Yb Method,Zn,Zn Method,Zr,Zr Method
OREAS0062h,"Au >1 ppm, Au-Ag ore",primary,andesite,low sulphidation epithermal,yes,Current,oreas-catalogue-2023-11-03.csv,7.7,Aqua Regia Digestion,69700,4-Acid Digestion,109,4-Acid Digestion,10.54,Pb Fire Assay,11.3,Aqua Regia Digestion,393,4-Acid Digestion,0.95,4-Acid Digestion,0.13,4-Acid Digestion,38400,4-Acid Digestion,0.45,4-Acid Digestion,31,4-Acid Digestion,,,14.7,4-Acid Digestion,32,4-Acid Digestion,3.88,4-Acid Digestion,144,4-Acid Digestion,2.49,4-Acid Digestion,1.47,4-Acid Digestion,0.87,4-Acid Digestion,39400,4-Acid Digestion,14.9,4-Acid Digestion,2.93,4-Acid Digestion,0.09,Aqua Regia Digestion,2.58,4-Acid Digestion,0.076,Aqua Regia Digestion,0.52,4-Acid Digestion,0.049,4-Acid Digestion,,,18000,4-Acid Digestion,14.1,4-Acid Digestion,35,4-Acid Digestion,0.22,4-Acid Digestion,14800,4-Acid Digestion,890,4-Acid Digestion,2.98,4-Acid Digestion,18600,4-Acid Digestion,3.24,4-Acid Digestion,15.4,4-Acid Digestion,16.2,Aqua Regia Digestion,880,4-Acid Digestion,52,4-Acid Digestion,,,3.72,4-Acid Digestion,,,9,Aqua Regia Digestion,0.001,Aqua Regia Digestion,,,,,5890,4-Acid Digestion,10.6,4-Acid Digestion,15.3,4-Acid Digestion,0.51,Aqua Regia Digestion,,,2.88,Aqua Regia Digestion,0.98,4-Acid Digestion,421,4-Acid Digestion,0.21,4-Acid Digestion,0.43,4-Acid Digestion,1.06,Aqua Regia Digestion,3,4-Acid Digestion,3690,4-Acid Digestion,0.54,4-Acid Digestion,0.21,4-Acid Digestion,0.79,4-Acid Digestion,91,Aqua Regia Digestion,3.14,4-Acid Digestion,13.8,4-Acid Digestion,1.44,4-Acid Digestion,168,4-Acid Digestion,98,4-Acid Digestion
OREAS0062Pa,"Au >1 ppm, Au only, Au-Ag ore",primary,andesitic volcanics,low sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,18.4,Aqua Regia Digestion,,,,,9.64,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0062Pb,"Au >1 ppm, Au only, Au-Ag ore",primary,andesitic volcanics,low sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,22,Aqua Regia Digestion,,,,,11.33,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0630,"Au <1 ppm, Zn-Pb-Ag sulphide ore",primary,pyritic tailings,volcanic hosted massive sulphide,yes,Archived,oreas-catalogue-2023-11-03.csv,10.4,Aqua Regia Digestion,71900,4-Acid Digestion,667,4-Acid Digestion,0.259,Pb Fire Assay,,,,,1.59,4-Acid Digestion,7.6,4-Acid Digestion,15800,4-Acid Digestion,13.2,4-Acid Digestion,45,Aqua Regia Digestion,,,,,17.2,4-Acid Digestion,5.8,4-Acid Digestion,384,4-Acid Digestion,,,,,,,86400,4-Acid Digestion,21,4-Acid Digestion,,,,,4.95,4-Acid Digestion,,,,,0.4,4-Acid Digestion,,,31200,4-Acid Digestion,22,4-Acid Digestion,24,4-Acid Digestion,,,11200,4-Acid Digestion,22400,4-Acid Digestion,11.1,4-Acid Digestion,5570,4-Acid Digestion,9.05,4-Acid Digestion,,,11,Aqua Regia Digestion,460,4-Acid Digestion,2720,4-Acid Digestion,,,,,,,29,Aqua Regia Digestion,,,,,,,77300,4-Acid Digestion,44,4-Acid Digestion,10.1,4-Acid Digestion,,,218200,Peroxide Fusion ICP,,,3.32,4-Acid Digestion,151,4-Acid Digestion,0.65,4-Acid Digestion,,,,,12.6,4-Acid Digestion,2360,4-Acid Digestion,49,4-Acid Digestion,,,7.26,4-Acid Digestion,,,19.9,4-Acid Digestion,21,4-Acid Digestion,,,5400,4-Acid Digestion,169,4-Acid Digestion
OREAS0630b,"Au <1 ppm, Zn-Pb-Ag sulphide ore",primary,pyritic tailings,volcanic hosted massive sulphide,yes,Current,oreas-catalogue-2023-11-03.csv,19.1,Aqua Regia Digestion,50800,4-Acid Digestion,413,4-Acid Digestion,0.358,Pb Fire Assay,,,67801,Oxidising Fusion XRF,1.28,4-Acid Digestion,4.14,4-Acid Digestion,15600,4-Acid Digestion,27,4-Acid Digestion,48,4-Acid Digestion,,,7.42,4-Acid Digestion,11.5,4-Acid Digestion,5.03,4-Acid Digestion,521,4-Acid Digestion,3.92,4-Acid Digestion,2.22,4-Acid Digestion,2.31,4-Acid Digestion,61200,4-Acid Digestion,15.9,4-Acid Digestion,5.36,4-Acid Digestion,,,3.2,4-Acid Digestion,1.21,Aqua Regia Digestion,0.76,4-Acid Digestion,0.35,4-Acid Digestion,,,17900,4-Acid Digestion,17.1,4-Acid Digestion,20,4-Acid Digestion,0.32,4-Acid Digestion,8370,4-Acid Digestion,33900,4-Acid Digestion,12.7,4-Acid Digestion,7210,4-Acid Digestion,8.1,4-Acid Digestion,30,4-Acid Digestion,47,Borate / Peroxide Fusion ICP,450,4-Acid Digestion,4110,4-Acid Digestion,,,7.27,4-Acid Digestion,,,106,Borate / Peroxide Fusion ICP,,,,,,,51700,4-Acid Digestion,48,4-Acid Digestion,6.29,4-Acid Digestion,,,216516,Oxidising Fusion XRF,,,2.22,4-Acid Digestion,385,4-Acid Digestion,0.58,4-Acid Digestion,0.71,4-Acid Digestion,,,7.49,4-Acid Digestion,2000,4-Acid Digestion,25,4-Acid Digestion,0.32,4-Acid Digestion,5.87,4-Acid Digestion,6.41,Aqua Regia Digestion,19.7,4-Acid Digestion,18.4,4-Acid Digestion,2.13,4-Acid Digestion,11100,4-Acid Digestion,113,4-Acid Digestion
OREAS0065a,"Au >1 ppm, Au-Ag ore",primary,metasediment/basalt,high sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,7.8,4-Acid Digestion,,,,,0.52,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,93,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0066a,"Au >1 ppm, Au-Ag ore",primary,metasediment/basalt,high sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,18.9,4-Acid Digestion,,,,,1.24,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,121,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0067a,"Au >1 ppm, Au-Ag ore",primary,metasediment/basalt,high sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,34,4-Acid Digestion,,,,,2.24,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,325,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0680,"Au <1 ppm, Au-Pd-Pt (PGE) ore, Ni-Cu-PGE",primary,gabbronorite,magmatic Ni-Cu-PGE,yes,Current,oreas-catalogue-2023-11-03.csv,10.5,Peroxide Fusion ICP,71300,4-Acid Digestion,110,4-Acid Digestion,0.16,Pb Fire Assay,,,649,Peroxide Fusion ICP,1.29,4-Acid Digestion,1.64,4-Acid Digestion,55800,4-Acid Digestion,8.15,4-Acid Digestion,39,4-Acid Digestion,,,317,4-Acid Digestion,1458,4-Acid Digestion,3.87,4-Acid Digestion,8970,4-Acid Digestion,3.05,4-Acid Digestion,1.75,4-Acid Digestion,1.27,4-Acid Digestion,116800,4-Acid Digestion,16,4-Acid Digestion,3.8,4-Acid Digestion,,,1.64,4-Acid Digestion,,,0.62,4-Acid Digestion,0.13,4-Acid Digestion,0.032,NiS Fire Assay,12400,4-Acid Digestion,18.1,4-Acid Digestion,12.9,4-Acid Digestion,0.24,4-Acid Digestion,35800,4-Acid Digestion,1220,4-Acid Digestion,1.94,4-Acid Digestion,14500,4-Acid Digestion,5.82,4-Acid Digestion,20,4-Acid Digestion,21500,Peroxide Fusion ICP,1260,4-Acid Digestion,2505,4-Acid Digestion,0.218,Pb Fire Assay,4.98,4-Acid Digestion,0.405,Pb Fire Assay,76,Peroxide Fusion ICP,,,0.04,NiS Fire Assay,0.085,NiS Fire Assay,49800,4-Acid Digestion,19.9,4-Acid Digestion,22,4-Acid Digestion,4.74,4-Acid Digestion,206200,Peroxide Fusion ICP,4.26,Peroxide Fusion ICP,2.22,4-Acid Digestion,429,4-Acid Digestion,0.41,4-Acid Digestion,0.53,4-Acid Digestion,,,6.56,4-Acid Digestion,5130,4-Acid Digestion,0.48,4-Acid Digestion,0.25,4-Acid Digestion,1.53,4-Acid Digestion,224,Peroxide Fusion ICP,1.67,4-Acid Digestion,15.3,4-Acid Digestion,1.57,4-Acid Digestion,2308,4-Acid Digestion,54,4-Acid Digestion
OREAS0681,"Au <1 ppm, Au-Pd-Pt (PGE) ore",primary,gabbronorite,magmatic PGE,yes,Current,oreas-catalogue-2023-11-03.csv,0.118,4-Acid Digestion,79100,4-Acid Digestion,,,0.051,Pb Fire Assay,,,442,4-Acid Digestion,1.41,4-Acid Digestion,0.098,4-Acid Digestion,59800,4-Acid Digestion,,,41,4-Acid Digestion,,,51,4-Acid Digestion,1642,4-Acid Digestion,4.02,4-Acid Digestion,264,4-Acid Digestion,3.4,4-Acid Digestion,1.97,4-Acid Digestion,1.37,4-Acid Digestion,74700,4-Acid Digestion,17.6,4-Acid Digestion,4.06,4-Acid Digestion,,,1.7,4-Acid Digestion,,,0.69,4-Acid Digestion,0.042,4-Acid Digestion,0.011,NiS Fire Assay,13500,4-Acid Digestion,18.8,4-Acid Digestion,13,4-Acid Digestion,0.27,4-Acid Digestion,51900,4-Acid Digestion,1310,4-Acid Digestion,1.38,4-Acid Digestion,16100,4-Acid Digestion,6.17,4-Acid Digestion,22,4-Acid Digestion,518,Peroxide Fusion ICP,1410,4-Acid Digestion,10.2,4-Acid Digestion,0.243,Pb Fire Assay,5.32,4-Acid Digestion,0.526,Pb Fire Assay,82,Peroxide Fusion ICP,,,0.032,NiS Fire Assay,0.063,NiS Fire Assay,1090,4-Acid Digestion,0.24,4-Acid Digestion,28,4-Acid Digestion,,,241700,Peroxide Fusion ICP,4.64,Peroxide Fusion ICP,1.89,4-Acid Digestion,478,4-Acid Digestion,0.42,4-Acid Digestion,0.58,4-Acid Digestion,,,6.55,4-Acid Digestion,5880,4-Acid Digestion,,,0.28,4-Acid Digestion,1.44,4-Acid Digestion,257,Peroxide Fusion ICP,1.09,4-Acid Digestion,17.5,4-Acid Digestion,1.77,4-Acid Digestion,88,4-Acid Digestion,58,4-Acid Digestion
OREAS0682,"Au <1 ppm, Au-Pd-Pt (PGE) ore",primary,gabbronorite,magmatic PGE,yes,Current,oreas-catalogue-2023-11-03.csv,0.117,4-Acid Digestion,88400,4-Acid Digestion,,,0.075,Pb Fire Assay,,,389,4-Acid Digestion,1.24,4-Acid Digestion,0.099,4-Acid Digestion,64000,4-Acid Digestion,,,36,4-Acid Digestion,,,50,4-Acid Digestion,2807,4-Acid Digestion,3.46,4-Acid Digestion,258,4-Acid Digestion,2.95,4-Acid Digestion,1.67,4-Acid Digestion,1.21,4-Acid Digestion,67800,4-Acid Digestion,17.9,4-Acid Digestion,3.51,4-Acid Digestion,,,1.55,4-Acid Digestion,,,0.59,4-Acid Digestion,0.038,4-Acid Digestion,0.02,NiS Fire Assay,11800,4-Acid Digestion,16.6,4-Acid Digestion,11.5,4-Acid Digestion,0.23,4-Acid Digestion,48600,4-Acid Digestion,1160,4-Acid Digestion,1.45,4-Acid Digestion,16000,4-Acid Digestion,5.43,4-Acid Digestion,18.9,4-Acid Digestion,572,Peroxide Fusion ICP,1220,4-Acid Digestion,9.19,4-Acid Digestion,0.444,Pb Fire Assay,4.63,4-Acid Digestion,0.868,Pb Fire Assay,72,Peroxide Fusion ICP,,,0.06,NiS Fire Assay,0.112,NiS Fire Assay,1140,4-Acid Digestion,0.2,4-Acid Digestion,24,4-Acid Digestion,,,239600,Peroxide Fusion ICP,4.03,Peroxide Fusion ICP,1.63,4-Acid Digestion,469,4-Acid Digestion,0.38,4-Acid Digestion,0.52,4-Acid Digestion,,,5.72,4-Acid Digestion,5030,4-Acid Digestion,0.15,4-Acid Digestion,0.24,4-Acid Digestion,1.28,4-Acid Digestion,231,Peroxide Fusion ICP,1.08,4-Acid Digestion,14.9,4-Acid Digestion,1.52,4-Acid Digestion,84,4-Acid Digestion,52,4-Acid Digestion
OREAS0683,"Au <1 ppm, Au-Pd-Pt (PGE) ore",primary,pyroxenite,magmatic PGE,yes,Current,oreas-catalogue-2023-11-03.csv,0.172,4-Acid Digestion,71500,4-Acid Digestion,,,0.207,Pb Fire Assay,,,188,4-Acid Digestion,0.56,4-Acid Digestion,0.16,4-Acid Digestion,52300,4-Acid Digestion,0.072,4-Acid Digestion,17.1,4-Acid Digestion,,,85,4-Acid Digestion,7710,4-Acid Digestion,1.32,4-Acid Digestion,404,4-Acid Digestion,1.54,4-Acid Digestion,0.93,4-Acid Digestion,0.58,4-Acid Digestion,73200,4-Acid Digestion,13.8,4-Acid Digestion,1.64,4-Acid Digestion,,,0.75,4-Acid Digestion,,,0.32,4-Acid Digestion,0.028,4-Acid Digestion,0.05,NiS Fire Assay,5070,4-Acid Digestion,8.17,4-Acid Digestion,6.51,4-Acid Digestion,0.13,4-Acid Digestion,86300,4-Acid Digestion,1200,4-Acid Digestion,1,4-Acid Digestion,10300,4-Acid Digestion,2.61,4-Acid Digestion,8.75,4-Acid Digestion,1215,Peroxide Fusion ICP,500,4-Acid Digestion,10.2,4-Acid Digestion,0.853,Pb Fire Assay,2.17,4-Acid Digestion,1.76,Pb Fire Assay,28,Peroxide Fusion ICP,,,0.146,NiS Fire Assay,0.252,NiS Fire Assay,2050,4-Acid Digestion,,,19.7,4-Acid Digestion,,,228700,Peroxide Fusion ICP,1.87,Peroxide Fusion ICP,0.85,4-Acid Digestion,276,4-Acid Digestion,,,0.25,4-Acid Digestion,,,2.42,4-Acid Digestion,2630,4-Acid Digestion,,,0.13,4-Acid Digestion,0.58,4-Acid Digestion,196,Peroxide Fusion ICP,1.23,4-Acid Digestion,8.02,4-Acid Digestion,0.88,4-Acid Digestion,92,4-Acid Digestion,26,4-Acid Digestion
OREAS0684,"Au <1 ppm, Au-Pd-Pt (PGE) ore",primary,pyroxenite,magmatic PGE,yes,Archived,oreas-catalogue-2023-11-03.csv,0.352,4-Acid Digestion,59600,4-Acid Digestion,,,0.248,Pb Fire Assay,,,71,4-Acid Digestion,,,0.36,4-Acid Digestion,44400,4-Acid Digestion,0.12,4-Acid Digestion,6.62,4-Acid Digestion,,,112,4-Acid Digestion,10400,4-Acid Digestion,0.26,4-Acid Digestion,978,4-Acid Digestion,0.78,4-Acid Digestion,0.55,4-Acid Digestion,0.24,4-Acid Digestion,78700,4-Acid Digestion,11.4,4-Acid Digestion,0.7,4-Acid Digestion,,,0.37,4-Acid Digestion,,,0.18,4-Acid Digestion,0.03,4-Acid Digestion,0.1,NiS Fire Assay,1520,4-Acid Digestion,3.33,4-Acid Digestion,3.95,4-Acid Digestion,0.087,4-Acid Digestion,107800,4-Acid Digestion,1270,4-Acid Digestion,1.19,4-Acid Digestion,6750,4-Acid Digestion,1.19,4-Acid Digestion,3.14,4-Acid Digestion,2230,Peroxide Fusion ICP,120,4-Acid Digestion,11.1,4-Acid Digestion,1.72,Pb Fire Assay,0.81,4-Acid Digestion,3.87,Pb Fire Assay,5.97,Peroxide Fusion ICP,,,0.28,NiS Fire Assay,0.55,NiS Fire Assay,4590,4-Acid Digestion,,,19.1,4-Acid Digestion,,,224200,Peroxide Fusion ICP,,,0.66,4-Acid Digestion,161,4-Acid Digestion,,,0.12,4-Acid Digestion,,,0.77,4-Acid Digestion,1380,4-Acid Digestion,0.065,4-Acid Digestion,0.081,4-Acid Digestion,0.22,4-Acid Digestion,180,Peroxide Fusion ICP,0.56,4-Acid Digestion,4.39,4-Acid Digestion,0.56,4-Acid Digestion,99,4-Acid Digestion,12.4,4-Acid Digestion
OREAS0068a,"Au >1 ppm, Au-Ag ore",primary,metasediment/basalt,high sulphidation epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,43,4-Acid Digestion,,,,,3.89,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,392,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0006Ca,Au (coarse) drill chips,oxide,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,1.48,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0006Pa,Au >1 ppm,oxide,metagreywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,1.65,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0006Pb,Au >1 ppm,oxide,metagreywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,1.43,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0006Pc,Au >1 ppm,oxide,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,1.52,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0700,"Au <1 ppm, Au-Cu ore, Fe ore, W ore",primary,magnetite skarn,skarn,yes,Current,oreas-catalogue-2023-11-03.csv,0.499,Aqua Regia Digestion,55700,4-Acid Digestion,4.35,4-Acid Digestion,0.506,Pb Fire Assay,,,158,4-Acid Digestion,2.32,4-Acid Digestion,6.89,Aqua Regia Digestion,55500,4-Acid Digestion,,,44,Aqua Regia Digestion,158,Borate Fusion XRF,16.8,4-Acid Digestion,47,4-Acid Digestion,109,4-Acid Digestion,2020,4-Acid Digestion,,,,,,,155700,4-Acid Digestion,129,4-Acid Digestion,,,,,1.42,4-Acid Digestion,,,,,2.1,4-Acid Digestion,,,15700,4-Acid Digestion,32,4-Acid Digestion,223,4-Acid Digestion,0.18,4-Acid Digestion,9950,4-Acid Digestion,3140,4-Acid Digestion,81,4-Acid Digestion,12100,4-Acid Digestion,10.4,Aqua Regia Digestion,,,24,Aqua Regia Digestion,3470,4-Acid Digestion,6.83,4-Acid Digestion,,,,,,,,,,,,,,,2950,4-Acid Digestion,0.7,4-Acid Digestion,9.55,4-Acid Digestion,2.01,Aqua Regia Digestion,221097,Borate Fusion XRF,,,133,4-Acid Digestion,124,4-Acid Digestion,,,,,0.19,Aqua Regia Digestion,7.75,4-Acid Digestion,1790,4-Acid Digestion,2.54,4-Acid Digestion,,,4.73,4-Acid Digestion,62,Borate Fusion XRF,9890,4-Acid Digestion,13.5,4-Acid Digestion,1.26,4-Acid Digestion,216,4-Acid Digestion,47,4-Acid Digestion
OREAS0701,"Au >1 ppm, Au-Cu ore, Fe ore, W ore",primary,magnetite skarn,skarn,yes,Archived,oreas-catalogue-2023-11-03.csv,1.11,Aqua Regia Digestion,63200,4-Acid Digestion,5.58,4-Acid Digestion,1.11,Pb Fire Assay,,,79,4-Acid Digestion,0.74,4-Acid Digestion,6.67,4-Acid Digestion,36200,4-Acid Digestion,,,18.4,4-Acid Digestion,227,Borate Fusion XRF,21,4-Acid Digestion,29,4-Acid Digestion,219,4-Acid Digestion,4910,4-Acid Digestion,,,,,,,230200,4-Acid Digestion,246,4-Acid Digestion,,,,,1.27,4-Acid Digestion,,,,,0.95,4-Acid Digestion,,,25700,4-Acid Digestion,9.8,4-Acid Digestion,128,4-Acid Digestion,0.11,4-Acid Digestion,7170,4-Acid Digestion,3240,4-Acid Digestion,254,4-Acid Digestion,6910,4-Acid Digestion,15,4-Acid Digestion,,,13.5,Aqua Regia Digestion,5120,4-Acid Digestion,7.72,4-Acid Digestion,,,,,,,,,,,,,,,6880,4-Acid Digestion,0.37,4-Acid Digestion,6.21,4-Acid Digestion,3.98,Aqua Regia Digestion,158694,Borate Fusion XRF,,,110,4-Acid Digestion,117,4-Acid Digestion,,,0.3,4-Acid Digestion,0.29,Aqua Regia Digestion,5.74,4-Acid Digestion,1540,4-Acid Digestion,5.51,4-Acid Digestion,,,8.34,4-Acid Digestion,51,Aqua Regia Digestion,24300,Borate Fusion XRF,8.1,4-Acid Digestion,0.74,4-Acid Digestion,336,4-Acid Digestion,46,4-Acid Digestion
OREAS0070b,Ni sulphide ore,primary,mineralised ultramafic,komatiite-hosted nickel sulphide,yes,Current,oreas-catalogue-2023-11-03.csv,0.175,4-Acid Digestion,38700,4-Acid Digestion,148,4-Acid Digestion,,,,,202,4-Acid Digestion,1.04,4-Acid Digestion,0.84,4-Acid Digestion,30500,4-Acid Digestion,0.36,4-Acid Digestion,28,4-Acid Digestion,,,78,4-Acid Digestion,1243,Borate Fusion XRF,3.44,4-Acid Digestion,52,4-Acid Digestion,1.92,Borate / Peroxide Fusion ICP,1.18,Borate / Peroxide Fusion ICP,0.54,Borate / Peroxide Fusion ICP,55200,4-Acid Digestion,10.1,4-Acid Digestion,1.93,Borate / Peroxide Fusion ICP,,,1.86,4-Acid Digestion,,,0.41,Borate / Peroxide Fusion ICP,0.047,4-Acid Digestion,,,6200,4-Acid Digestion,15.3,4-Acid Digestion,34,4-Acid Digestion,,,134000,4-Acid Digestion,1150,4-Acid Digestion,3.3,4-Acid Digestion,7690,4-Acid Digestion,3.68,4-Acid Digestion,11.3,Borate / Peroxide Fusion ICP,2231,Borate Fusion XRF,220,4-Acid Digestion,13.7,4-Acid Digestion,,,3.13,Borate / Peroxide Fusion ICP,,,34,Borate / Peroxide Fusion ICP,,,,,,,3090,4-Acid Digestion,0.56,4-Acid Digestion,12.4,4-Acid Digestion,,,224200,Borate Fusion XRF,2,Borate / Peroxide Fusion ICP,1.21,4-Acid Digestion,74,4-Acid Digestion,0.3,4-Acid Digestion,0.32,Borate / Peroxide Fusion ICP,,,6.91,4-Acid Digestion,1810,4-Acid Digestion,0.33,4-Acid Digestion,0.18,Borate / Peroxide Fusion ICP,1.72,4-Acid Digestion,69,Borate / Peroxide Fusion ICP,4.92,4-Acid Digestion,9.85,4-Acid Digestion,1.16,Borate / Peroxide Fusion ICP,112,4-Acid Digestion,66,4-Acid Digestion
OREAS0070P,Ni sulphide ore,primary,metadunite,komatiite-hosted nickel sulphide,no,Archived,oreas-catalogue-2023-11-03.csv,0.02,Aqua Regia Digestion,3300,Borate / Peroxide Fusion ICP,2.5,4-Acid Digestion,0.013,Pb Fire Assay,,,6.5,Borate / Peroxide Fusion ICP,,,,,2500,Borate / Peroxide Fusion ICP,,,0.9,Borate / Peroxide Fusion ICP,,,91,4-Acid Digestion,747,4-Acid Digestion,,,2.6,4-Acid Digestion,0.11,Borate / Peroxide Fusion ICP,0.1,Borate / Peroxide Fusion ICP,,,39800,Borate / Peroxide Fusion ICP,,,0.1,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,0.6,Borate / Peroxide Fusion ICP,,,,,252000,Borate / Peroxide Fusion ICP,630,Borate / Peroxide Fusion ICP,,,790,Borate / Peroxide Fusion ICP,,,0.5,Borate / Peroxide Fusion ICP,2438,Aqua Regia Digestion,50,Borate / Peroxide Fusion ICP,,,,,0.11,Borate / Peroxide Fusion ICP,0.001,Pb Fire Assay,0.7,Borate / Peroxide Fusion ICP,,,,,,,,,0.58,4-Acid Digestion,,,,,163100,Borate / Peroxide Fusion ICP,0.1,Borate / Peroxide Fusion ICP,,,3.9,Borate / Peroxide Fusion ICP,,,,,,,,,190,Borate / Peroxide Fusion ICP,,,,,,,,,,,0.8,Borate / Peroxide Fusion ICP,0.1,Borate / Peroxide Fusion ICP,35,4-Acid Digestion,6.3,Borate / Peroxide Fusion ICP
OREAS0722,Graphite,primary,granodiorite,crystalline vein,no,Current,oreas-catalogue-2023-11-03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0723,Graphite,primary,granodiorite,crystalline vein,no,Current,oreas-catalogue-2023-11-03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
